task id resource fire_time start_time end_time time execution_time upload_time cpu memory
mDiffFit 2832 fargate 222881 276694 277332 638 518 73 43 05 2
mProject 1643 fargate 202734 255984 282515 26531 184 26038 304 05 2
mProject 124 fargate 212263 258804 284520 25716 191 25306 215 05 2
mProject 1782 fargate 212679 266203 283829 17626 202 17274 146 05 2
mProject 182 fargate 202247 256132 282608 26476 199 26009 263 05 2
mProject 1714 fargate 202381 255839 282135 26296 132 25907 254 05 2
mDiffFit 4021 fargate 232227 285650 286451 801 626 75 30 05 2
mProject 45 fargate 222453 276130 290800 14670 184 14309 172 05 2
mProject 3422 fargate 212187 266001 291987 25986 237 25554 191 05 2
mProject 3357 fargate 212417 267009 288170 21161 148 20692 256 05 2
mProject 107 fargate 212528 265038 290625 25587 205 25180 196 05 2
mDiffFit 298 fargate 241955 294862 295611 749 692 22 31 05 2
mProject 3273 fargate 211864 265213 291368 26155 195 25723 233 05 2
mDiffFit 4084 fargate 243058 295226 295954 728 672 13 38 05 2
mDiffFit 321 fargate 242530 295970 296713 743 683 12 43 05 2
mDiffFit 3494 fargate 242677 297870 298530 660 602 14 41 05 2
mProject 3239 fargate 221952 275787 301547 25760 210 25308 238 05 2
mProject 3315 fargate 232467 285042 299728 14686 138 14308 180 05 2
mDiffFit 4082 fargate 243055 296772 297429 657 608 12 33 05 2
mProject 39 fargate 222307 275749 301687 25938 214 25486 234 05 2
mProject 3335 fargate 222633 275927 302230 26303 212 25874 214 05 2
mProject 198 fargate 212374 276308 301890 25582 188 25141 248 05 2
mProject 159 fargate 222694 277779 303375 25596 138 25191 263 05 2
mDiffFit 1093 fargate 252321 305983 306731 748 690 17 37 05 2
mDiffFit 3493 fargate 252536 305015 305738 723 609 26 82 05 2
mProject 1770 fargate 231954 279061 305233 26172 216 25690 262 05 2
mDiffFit 3509 fargate 253091 305933 306680 747 679 13 50 05 2
mProject 1847 fargate 232315 285011 304363 19352 186 18947 215 05 2
mDiffFit 3961 fargate 253096 305594 306248 654 595 14 41 05 2
mProject 3428 fargate 233005 279858 306000 26142 207 25690 241 05 2
mProject 1823 fargate 222375 276645 302814 26169 181 25728 255 05 2
mProject 92 fargate 233037 285569 306331 20762 177 20414 167 05 2
mProject 1820 fargate 231936 285620 311682 26062 249 25564 246 05 2
mProject 1849 fargate 242239 295717 310294 14577 206 14134 234 05 2
mDiffFit 1193 fargate 252721 306304 307034 730 617 70 37 05 2
mProject 108 fargate 232475 286787 312460 25673 222 25184 262 05 2
mProject 3314 fargate 232375 286109 312172 26063 154 25646 204 05 2
mProject 1642 fargate 232662 286285 312268 25983 188 25553 237 05 2
mProject 15 fargate 241942 290812 316422 25610 206 25184 217 05 2
mDiffFit 3487 fargate 262777 316738 317393 655 599 14 38 05 2
mDiffFit 1188 fargate 262395 315680 316412 732 618 74 35 05 2
mProject 3414 fargate 252566 305734 320393 14659 152 14270 233 05 2
mProject 3388 fargate 242318 295786 321501 25715 200 25224 286 05 2
mProject 3358 fargate 242375 295354 321530 26176 185 25706 281 05 2
mProject 53 fargate 242557 297133 323200 26067 213 25601 247 05 2
mProject 58 fargate 252271 305844 326889 21045 180 20634 226 05 2
mDiffFit 1277 fargate 272402 322568 323372 804 690 12 98 05 2
mDiffFit 1369 fargate 272079 325781 326408 627 520 13 90 05 2
mDiffFit 2463 fargate 272596 326616 327430 814 700 13 36 05 2
mDiffFit 2464 fargate 272342 326302 327048 746 678 14 49 05 2
mDiffFit 774 fargate 273249 327900 328635 735 675 19 37 05 2
mProject 126 fargate 251962 305309 331300 25991 196 25595 195 05 2
mProject 125 fargate 251959 306000 332162 26162 269 25630 259 05 2
mProject 178 fargate 252396 305915 332277 26362 464 25621 274 05 2
mProject 1870 fargate 262585 316996 331795 14799 180 14454 161 05 2
mDiffFit 666 fargate 282346 336046 336704 658 603 17 35 05 2
